customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4396-ABCDE,Female,1,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),55.19,279.42,No
1663-ABCDE,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.64,316.37,Yes
1346-ABCDE,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),76.92,473.68,Yes
4344-ABCDE,Female,0,Yes,No,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,31.94,655.23,Yes
6120-ABCDE,Female,0,Yes,No,7,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,62.46,441.32,No
2874-ABCDE,Male,0,No,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,78.74,2077.42,No
1085-ABCDE,Female,1,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,70.03,70.03,Yes
0178-ABCDE,Male,1,No,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,98.38,Yes
5557-ABCDE,Male,0,No,No,22,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),46.47,936.06,No
4811-ABCDE,Male,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.11,1457.15,No
6609-ABCDE,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),52.93,482.69,Yes
0394-ABCDE,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.97,2829.4,No
6007-ABCDE,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,61.87,63.25,Yes
3108-ABCDE,Male,1,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,46.36,3251.07,Yes
1818-ABCDE,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.52,201.58,No
1076-ABCDE,Male,0,No,No,7,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,51.11,352.1,Yes
2654-ABCDE,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,53.38,456.93,No
2165-ABCDE,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.21,51.38,Yes
3873-ABCDE,Male,0,Yes,Yes,45,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,54.8,2429.56,Yes
1318-ABCDE,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,63.62,703.47,Yes
3255-ABCDE,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,63.62,2117.94,Yes
3426-ABCDE,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.95,139.63,Yes
3659-ABCDE,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,62.67,178.4,No
3514-ABCDE,Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.78,260.36,Yes
2178-ABCDE,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,52.07,1284.27,No
3594-ABCDE,Female,0,Yes,No,3,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,36.09,111.96,Yes
4853-ABCDE,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.65,161.33,Yes
1376-ABCDE,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,65.65,964.82,Yes
2534-ABCDE,Male,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),64.84,3280.75,No
3915-ABCDE,Female,0,No,Yes,18,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,60.05,1106.72,No
3013-ABCDE,Male,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),56.05,1561.89,Yes
6634-ABCDE,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.14,3282.28,No
0322-ABCDE,Female,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),49.47,102.34,No
0743-ABCDE,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,74.7,696.03,Yes
1150-ABCDE,Female,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.82,862.62,No
1189-ABCDE,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,44.89,260.32,Yes
2904-ABCDE,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,76.32,309.56,Yes
4334-ABCDE,Female,0,No,No,7,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,50.9,343.86,Yes
2577-ABCDE,Female,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.47,2562.57,Yes
2978-ABCDE,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.48,76.45,No
2679-ABCDE,Male,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.38,418.92,Yes
0038-ABCDE,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,64.34,4681.01,No
1796-ABCDE,Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.24,2156.12,No
1329-ABCDE,Female,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,55.1,1758.2,Yes
5973-ABCDE,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,69.59,1299.79,No
2580-ABCDE,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.28,577.11,No
3173-ABCDE,Male,0,No,No,4,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),46.3,183.49,Yes
2639-ABCDE,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),39.72,1075.24,No
4465-ABCDE,Female,0,No,No,14,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),42.85,504.26,No
0677-ABCDE,Male,1,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.24,184.43,No
5422-ABCDE,Male,0,No,No,4,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.67,246.92,Yes
5061-ABCDE,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.81,257.08,Yes
6686-ABCDE,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.16,500.64,No
0536-ABCDE,Female,1,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.21,1196.92,Yes
6181-ABCDE,Female,1,No,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.58,1976.41,Yes
0234-ABCDE,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),30.79,202.21,No
1380-ABCDE,Female,0,No,Yes,18,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,37.49,657.57,No
0735-ABCDE,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,55.46,3710.66,No
3803-ABCDE,Female,1,No,No,21,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,49.93,1047.46,Yes
2168-ABCDE,Male,1,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.02,530.51,No
4715-ABCDE,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.58,1941.19,No
1043-ABCDE,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.87,263.16,No
5811-ABCDE,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,62.51,451.84,Yes
3407-ABCDE,Female,1,No,Yes,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.34,929.8,Yes
6011-ABCDE,Female,0,Yes,No,28,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,45.17,1291.36,No
2111-ABCDE,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),39.21,277.59,Yes
1510-ABCDE,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.33,187.77,Yes
2743-ABCDE,Male,0,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.52,810.37,No
3078-ABCDE,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),62.28,182.23,Yes
0320-ABCDE,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,73.51,427.71,Yes
2930-ABCDE,Male,1,No,No,32,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,54.87,1806.63,No
1058-ABCDE,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),40.12,1294.17,No
1154-ABCDE,Female,0,Yes,No,9,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),50.59,422.57,Yes
6027-ABCDE,Female,0,Yes,No,6,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,51.71,321.53,No
0051-ABCDE,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),46.34,449.48,No
5575-ABCDE,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,60.79,1634.31,No
1863-ABCDE,Male,0,Yes,No,72,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Mailed check,42.48,2919.5,No
6004-ABCDE,Female,0,Yes,No,13,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),59.0,824.36,No
0512-ABCDE,Male,0,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,48.37,1026.04,Yes
0436-ABCDE,Female,1,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),71.54,2084.19,No
5956-ABCDE,Female,0,No,Yes,2,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.9,85.41,No
3400-ABCDE,Female,1,Yes,Yes,14,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.32,628.65,Yes
2334-ABCDE,Female,0,Yes,Yes,3,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),50.55,148.17,No
2355-ABCDE,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),63.36,415.8,No
6152-ABCDE,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,79.07,1914.28,Yes
4351-ABCDE,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,59.35,1767.17,No
3519-ABCDE,Male,1,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),52.18,298.27,No
5654-ABCDE,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),79.35,331.07,Yes
2284-ABCDE,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.2,499.35,No
0765-ABCDE,Male,1,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.35,950.47,Yes
0544-ABCDE,Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),28.97,60.76,No
3130-ABCDE,Female,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.16,1366.8,No
2324-ABCDE,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),49.51,396.16,No
5699-ABCDE,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,69.78,283.57,No
2655-ABCDE,Female,0,Yes,No,7,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,36.45,217.99,No
2759-ABCDE,Female,0,No,Yes,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.98,525.8,Yes
5314-ABCDE,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),51.77,656.8,No
5071-ABCDE,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,63.57,387.98,No
3711-ABCDE,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,55.28,102.39,No
0264-ABCDE,Female,0,Yes,No,67,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,63.44,4423.18,No
4901-ABCDE,Male,1,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),48.1,574.28,No
2207-ABCDE,Male,0,No,No,11,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,43.46,458.58,No
2964-ABCDE,Female,0,Yes,Yes,29,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),42.55,1281.03,No
6284-ABCDE,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),70.72,1595.73,No
1398-ABCDE,Male,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.51,104.33,Yes
6700-ABCDE,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),50.35,155.61,No
2403-ABCDE,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.3,478.97,Yes
3669-ABCDE,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.71,376.01,No
6341-ABCDE,Male,0,Yes,No,23,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.84,1134.92,Yes
0430-ABCDE,Male,1,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),64.82,202.69,Yes
5736-ABCDE,Female,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.71,605.6,No
3905-ABCDE,Female,1,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,37.38,375.16,No
3382-ABCDE,Male,0,Yes,No,21,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,50.68,1152.49,No
5058-ABCDE,Male,0,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),41.52,120.41,Yes
6834-ABCDE,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,56.65,486.41,Yes
1415-ABCDE,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),63.57,425.82,No
6360-ABCDE,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,61.98,256.56,Yes
0231-ABCDE,Female,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,98.99,Yes
3933-ABCDE,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.55,29.55,No
5479-ABCDE,Female,1,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,75.51,841.82,No
0790-ABCDE,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,77.12,1841.94,No
0473-ABCDE,Male,0,No,No,27,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,44.5,1207.8,Yes
1080-ABCDE,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),59.47,2741.18,No
0246-ABCDE,Female,1,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),34.65,107.7,No
1537-ABCDE,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.47,3118.4,No
2240-ABCDE,Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.16,219.95,No
4467-ABCDE,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.1,607.58,No
0545-ABCDE,Female,0,No,No,24,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),41.6,991.38,No
1303-ABCDE,Male,0,Yes,No,13,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),59.26,805.82,No
6745-ABCDE,Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.27,2033.86,Yes
4190-ABCDE,Female,0,No,Yes,12,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),44.64,549.41,No
3423-ABCDE,Female,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.87,1038.66,No
